name,medal
"A Dijiang",NULL
"A Lamusi",NULL
"Gunnar Nielsen Aaby",NULL
"Edgar Lindenau Aabye",Gold
"Christine Jacoba Aaftink",NULL
"Christine Jacoba Aaftink","000 metres""""
"Christine Jacoba Aaftink",NULL
"Christine Jacoba Aaftink","000 metres""""
"Christine Jacoba Aaftink",NULL
"Christine Jacoba Aaftink","000 metres""""
"Per Knut Aaland",NULL
"Per Knut Aaland",NULL
"Per Knut Aaland",NULL
"Per Knut Aaland",NULL
"Per Knut Aaland",NULL
"Per Knut Aaland",NULL
"Per Knut Aaland",NULL
"Per Knut Aaland",NULL
"John Aalberg",NULL
"John Aalberg",NULL
"John Aalberg",NULL
"John Aalberg",NULL
"John Aalberg",NULL
"John Aalberg",NULL
"John Aalberg",NULL
"John Aalberg",NULL
"Cornelia \Cor\" Aalten (-Strannood)"",NULL
"Cornelia \Cor\" Aalten (-Strannood)"",NULL
"Antti Sami Aalto",NULL
"Einar Ferdinand \Einari\" Aalto"",NULL
"Jorma Ilmari Aalto",NULL
"Jyri Tapani Aalto",NULL
"Minna Maarit Aalto",NULL
"Minna Maarit Aalto",NULL
"Pirjo Hannele Aalto (Mattila-)",NULL
"Arvo Ossian Aaltonen",NULL
"Arvo Ossian Aaltonen",NULL
"Arvo Ossian Aaltonen",Bronze
"Arvo Ossian Aaltonen",Bronze
"Arvo Ossian Aaltonen",NULL
"Juhamatti Tapio Aaltonen",Bronze
"Paavo Johannes Aaltonen",Bronze
"Paavo Johannes Aaltonen",Gold
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",Gold
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",Gold
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",Bronze
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",NULL
"Paavo Johannes Aaltonen",NULL
"Timo Antero Aaltonen",NULL
"Win Valdemar Aaltonen"," Unknown Event""""
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",Gold
"Kjetil Andr Aamodt",Bronze
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",Silver
"Kjetil Andr Aamodt",Bronze
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",Silver
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",Gold
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",Gold
"Kjetil Andr Aamodt",NULL
"Kjetil Andr Aamodt",Gold
"Ragnhild Margrethe Aamodt",Gold
"Andreea Aanei",NULL
"Fritz Aanes"," Greco-Roman""""
"Fritz Aanes"," Greco-Roman""""
"Nils Egil Aaness",NULL
"Nils Egil Aaness","500 metres""""
"Nils Egil Aaness","500 metres""""
"Alf Lied Aanning"," Free System""""
"Agnes Erika Aanonsen (-Eyde)",NULL
"Johan Aantjes",NULL
"Jan-Erik Aarberg",NULL
"Jan-Erik Aarberg",NULL
"Willemien Aardenburg",Bronze
"Pepijn Aardewijn",Silver
"Pepijn Aardewijn",NULL
"Evald rma (rman-)",NULL
"Olav Augunson Aarnes",NULL
"Mika Lauri Aarnikka",NULL
"Mika Lauri Aarnikka",NULL
"Jamale (Djamel-) Aarrass (Ahrass-)","500 metres""""
"Dagfinn Sverre Aarskog",NULL
