name,year,total_medals
"Christine Jacoba Aaftink",1988,2
"Christine Jacoba Aaftink",1992,2
"Christine Jacoba Aaftink",1994,2
"Per Knut Aaland",1992,4
"Per Knut Aaland",1994,4
"John Aalberg",1992,4
"John Aalberg",1994,4
"Cornelia \Cor\" Aalten (-Strannood)"",1932,2
"Arvo Ossian Aaltonen",1912,2
"Arvo Ossian Aaltonen",1920,2
"Paavo Johannes Aaltonen",1948,8
"Paavo Johannes Aaltonen",1952,8
"Kjetil Andr Aamodt",1992,4
"Kjetil Andr Aamodt",1994,5
"Kjetil Andr Aamodt",1998,4
"Kjetil Andr Aamodt",2002,5
"Kjetil Andr Aamodt",2006,2
"Nils Egil Aaness",1960,2
